COMPANY,ticker,ticker1
Sobha Limited,532784,SOBHA.NS
Solar Industries India Ltd,532725,SOLARINDS.NS
Somany Ceramics Ltd,531548,SOMANYCERA.NS
Sonata Software Ltd,532221,SONATSOFTW.NS
South Indian Bank Ltd,532218,SOUTHBANK.NS
SpiceJet Ltd.,500285,SPICEJET.NS
SREI Infrastructure Finance Ltd,523756,SREINFRA.NS
SRF Ltd,503806,SRF.NS
Star Cement Ltd,540575,STARCEMENT.NS
State Bank of India,500112,SBIN.NS
Steel Authority of India Ltd,500113,SAIL.NS
Sterlite Technologies Ltd.,532374,STLTECH.NS
Strides Pharma Science Ltd,532531,STAR.NS
Sudarshan Chemical Industries,506655,SUDARSCHEM.NS
Sun Pharma Advanced Research Co Ltd,532872,SPARC.NS
Sun Pharmaceutical Industries Ltd,524715,SUNPHARMA.NS
Sun TV Network Ltd,532733,SUNTV.NS
Sundaram Clayton Ltd,520056,SUNCLAYLTD.NS
Sundaram Fastners,500403,SUNDRMFAST.NS
Sunteck Realty Ltd,512179,SUNTECK.NS
Suprajit Engineering Ltd,532509,SUPRAJIT.NS
Supreme Industries,509930,SUPREMEIND.NS
Supreme Petrochem Ltd.,500405,SUPPETRO.NS
Suven Life Sciences Ltd,530239,SUVEN.NS
Suzlon Energy Ltd,532667,SUZLON.NS
Swan Energy Ltd.,503310,SWANENERGY.NS
Symphony Ltd,517385,SYMPHONY.NS
Syngene International Ltd,539268,SYNGENE.NS
Take Solutions Ltd,532890,TAKE.NS
Tamilnadu Newsprint & Papers,531426,TNPL.NS
Tata Chemicals Ltd,500770,TATACHEM.NS
Tata Coffee Ltd.,532301,TATACOFFEE.NS
Tata Communications Ltd,500483,TATACOMM.NS
Tata Consultancy Services Ltd,532540,TCS.NS
Tata Elxsi Ltd,500408,TATAELXSI.NS
Tata Global Beverages Ltd,500800,TATACONSUM.NS
Tata Investment Corp Ltd,501301,TATAINVEST.NS
Tata Metaliks Ltd.,513434,TATAMETALI.NS
Tata Motors Ltd,500570,TATAMOTORS.NS
Tata Motors Ltd DVR,570001,TATAMTRDVR.NS
Tata Power Co Ltd,500400,TATAPOWER.NS
Tata Steel Ltd,500470,TATASTEEL.NS
TeamLease Services Ltd,539658,TEAMLEASE.NS
Tech Mahindra Ltd,532755,TECHM.NS
Tejas Networks Ltd,540595,TEJASNET.NS
The New India Assurance Company Ltd,540769,NIACL.NS
Thermax Ltd,500411,THERMAX.NS
Thomas Cook (India) Ltd,500413,THOMASCOOK.NS
Thyrocare Technologies Ltd,539871,THYROCARE.NS
Time Technoplast Ltd.,532856,TIMETECHNO.NS
Timken India Ltd.,522113,TIMKEN.NS
Titan Co Ltd,500114,TITAN.NS
Torrent Pharmaceuticals Ltd,500420,TORNTPHARM.NS
Torrent Power Ltd,532779,TORNTPOWER.NS
Trent Ltd.,500251,TRENT.NS
Trident Ltd.,521064,TRIDENT.NS
Triveni Turbine Limited,533655,TRITURBINE.NS
TTK Prestige Ltd,517506,TTKPRESTIG.NS
Tube Investments Of India,540762,TIINDIA.NS
TV Today Network,532515,TVTODAY.NS
TV18 Broadcast Ltd,532800,TV18BRDCST.NS
TVS Motor Co Ltd,532343,TVSMOTOR.NS
TVS Srichakra Ltd,509243,TVSSRICHAK.NS
UCO Bank,532505,UCOBANK.NS
Uflex Ltd,500148,UFLEX.NS
Ujjivan Financial Services Ltd,539874,UJJIVAN.NS
UltraTech Cement Ltd,532538,ULTRACEMCO.NS
Union Bank of India,532477,UNIONBANK.NS
United Breweries Ltd,532478,UBL.NS
UPL Ltd,512070,UPL.NS
V-Guard Industries Ltd,532953,VGUARD.NS
V-Mart Retail Limited,534976,VMART.NS
VA Tech Wabag Ltd,533269,WABAG.NS
Vardhman Textiles Ltd.,502986,VTL.NS
Varun Beverages Ltd,540180,VBL.NS
Vedanta Ltd,500295,VEDL.NS
Vinati Organics Ltd,524200,VINATIORGA.NS
VIP Industries Ltd,507880,VIPIND.NS
Vodafone Idea Ltd,532822,IDEA.NS
Voltas Ltd,500575,VOLTAS.NS
WABCO India Ltd,533023,WABCOINDIA.NS
Welspun Corp Ltd,532144,WELCORP.NS
Welspun India Ltd.,514162,WELSPUNIND.NS
Westlife Development Ltd,505533,WESTLIFE.NS
Whirlpool of India Ltd,500238,WHIRLPOOL.NS
Wipro Ltd,507685,WIPRO.NS
Wockhardt Ltd,532300,WOCKPHARMA.NS
Yes Bank Ltd,532648,YESBANK.NS
Zee Entertainment Enterprises Ltd,505537,ZEEL.NS
Zensar Technologies Ltd,504067,ZENSARTECH.NS
Zydus Wellness Ltd,531335,ZYDUSWELL.NS
